Inizio validità (UTC),Fine validità (UTC),Direzione media degli ultimi 10 minuti del vento a 10 m dal suolo (DEGREE TRUE),Velocita' media degli ultimi 10 minuti del vento a 10 m dal suolo (M/S)
2019-02-17 23:00:00+00:00,2019-02-17 23:00:00+00:00,213,1.1
2019-02-18 00:00:00+00:00,2019-02-18 00:00:00+00:00,215,0.9
2019-02-18 01:00:00+00:00,2019-02-18 01:00:00+00:00,218,0.3
2019-02-18 02:00:00+00:00,2019-02-18 02:00:00+00:00,209,1.3
2019-02-18 03:00:00+00:00,2019-02-18 03:00:00+00:00,222,0.6
2019-02-18 04:00:00+00:00,2019-02-18 04:00:00+00:00,209,0.8
2019-02-18 05:00:00+00:00,2019-02-18 05:00:00+00:00,203,0.4
2019-02-18 06:00:00+00:00,2019-02-18 06:00:00+00:00,197,1.1
2019-02-18 07:00:00+00:00,2019-02-18 07:00:00+00:00,197,0.9
2019-02-18 08:00:00+00:00,2019-02-18 08:00:00+00:00,211,0.5
2019-02-18 09:00:00+00:00,2019-02-18 09:00:00+00:00,19,0.6
2019-02-18 10:00:00+00:00,2019-02-18 10:00:00+00:00,44,1.4
2019-02-18 11:00:00+00:00,2019-02-18 11:00:00+00:00,49,2.1
2019-02-18 12:00:00+00:00,2019-02-18 12:00:00+00:00,49,2.4
2019-02-18 13:00:00+00:00,2019-02-18 13:00:00+00:00,69,2.3
2019-02-18 14:00:00+00:00,2019-02-18 14:00:00+00:00,90,1.4
2019-02-18 15:00:00+00:00,2019-02-18 15:00:00+00:00,120,1.5
2019-02-18 16:00:00+00:00,2019-02-18 16:00:00+00:00,111,1.4
2019-02-18 17:00:00+00:00,2019-02-18 17:00:00+00:00,136,1.2
2019-02-18 18:00:00+00:00,2019-02-18 18:00:00+00:00,137,1.2
2019-02-18 19:00:00+00:00,2019-02-18 19:00:00+00:00,173,0.8
2019-02-18 20:00:00+00:00,2019-02-18 20:00:00+00:00,204,0.8
2019-02-18 21:00:00+00:00,2019-02-18 21:00:00+00:00,207,0.7
2019-02-18 22:00:00+00:00,2019-02-18 22:00:00+00:00,237,1.3
